gene,z,logFC,pvals,p_adj,is_known_marker
Srp72,3.6724422,0.2113002,0.00024024346049635815,0.0010450044523726814,False
Atm,3.671346,0.30684608,0.0002412766007329824,0.0010490215496202976,False
Tmem175,3.669967,1.0079346,0.00024258177006593695,0.0010542171883042614,False
Gadd45gip1,3.6688042,0.32098657,0.0002436876608433243,0.001058782778860473,False
Mtx3,3.6676745,0.74069786,0.0002447664820089762,0.0010632287106604164,False
Coro2b,3.6660798,0.38377824,0.00024629715277158865,0.0010693922883156614,False
Angptl6,3.6643853,0.47727722,0.00024793332594772594,0.0010762521944462523,False
Stard10,3.6623087,1.923042,0.0002499523429231557,0.0010845245729327311,False
Atf6b,3.6592355,0.508199,0.0002529688058545498,0.001097115335429465,False
Atp5h,3.6587205,0.11988634,0.0002534775947163595,0.0010990728784042601,False
Rad9b,3.6583052,1.3028039,0.0002538886071784782,0.0011006056744708706,False
Snx13,3.6551156,0.7250306,0.0002570660780411195,0.001114127642126129,False
Rbck1,3.65274,0.3899225,0.0002594568196213629,0.0011242345643498448,False
Lrig1,3.651195,1.8673377,0.0002610228084641148,0.0011307640405601388,False
Tbc1d32,3.6507964,0.7471613,0.00026142837077236633,0.0011322646725983978,False
Surf2,3.6501486,0.3613896,0.0002620886698297776,0.0011348676587945958,False
Alkbh2,3.6482382,0.7301128,0.000264044820065557,0.0011428208528346212,False
Chmp2a,3.6476402,0.18048945,0.0002646599877603217,0.0011452243965057196,False
Hey2,3.644733,1.8974624,0.00026766957407249863,0.0011572008082614753,False
Gpld1,3.6445005,2.364212,0.0002679117217394822,0.0011579860980966462,False
Hyou1,3.643836,0.6115012,0.000268604704194476,0.0011604572084826356,False
Trak1,3.6428392,0.4300053,0.00026964732895694337,0.001164698765269,False
Tsen2,3.6426399,0.3653504,0.0002698563086139063,0.0011653384229606393,False
Gss,3.6398323,0.6749748,0.00027281560966090995,0.0011778520084142015,False
Scrn2,3.6375399,0.7164729,0.0002752546107731667,0.0011875784480585296,False
Cln6,3.636294,1.7367845,0.0002765887110821362,0.0011930654364212315,False
Orc2,3.6344001,0.2706718,0.00027862815407141297,0.0012015917622291061,False
Creb3l2,3.6317587,1.7111529,0.00028149618312636173,0.0012125940690649194,False
Glb1,3.629865,1.1614174,0.0002835695074750414,0.0012207010354396799,False
Pofut1,3.6292503,0.549187,0.00028424549827987686,0.0012233358649828116,False
Timm22,3.6291673,0.27412516,0.00028433696410657327,0.0012234543965907612,False
Prdm11,3.6278548,1.3084253,0.0002857857890822547,0.0012294120515273707,False
Snrpd3,3.625147,0.12611377,0.0002887970221444775,0.0012409713082225313,False
Slc4a2,3.6222067,1.0656763,0.00029210053830627884,0.001254884893971688,False
Dnajc17,3.620562,0.39437276,0.0002939636706867813,0.0012623223453610741,False
Itfg1,3.618253,0.33089152,0.0002965983766083723,0.00127335045534043,False
Zfp523,3.614947,0.6099411,0.0003004088854252609,0.0012885534868117589,False
Ncoa4,3.6141,0.5559386,0.0003013928023950593,0.001292484168729339,False
Capns1,3.611824,0.26043832,0.0003040508365804709,0.0013030069326721077,False
Rrp36,3.6116579,0.43616933,0.00030424571080911065,0.0013035501811451912,False
Tceal3,3.6112592,0.5422551,0.0003047138862594119,0.0013052638919245488,False
Slc30a9,3.6089501,0.29132095,0.00030743869755205566,0.0013163465844404458,False
Cd44,3.606209,2.2880547,0.0003107027985103117,0.0013294301052288967,False
Ddx41,3.6048303,0.29609933,0.000312356979310874,0.0013359106652582832,False
Cmtm6,3.6032023,0.8402498,0.0003143207227964076,0.0013437088035739213,False
Eif3j2,3.601541,0.68272465,0.0003163364524104021,0.001351722117142819,False
Desi1,3.6004612,0.42304212,0.0003176531590723781,0.0013570454936353224,False
Nceh1,3.598933,1.6109219,0.0003195255770644694,0.0013647400177274895,False
Dus2,3.598418,0.7033373,0.000320158824120794,0.0013671396106309406,False
Prpf39,3.594597,0.2829675,0.00032489392872683684,0.0013867406114859346,False
Nus1,3.5939326,0.32999977,0.0003257240862090152,0.0013893544207609408,False
Ubr2,3.5923545,0.31957033,0.0003277036733704008,0.0013971754521354648,False
Ube2l3,3.5900786,0.1401267,0.00033057828017372433,0.0014088037640269228,False
Ncln,3.5890653,0.46655068,0.0003318657920745541,0.0014139313587473849,False
Degs1,3.5890155,0.59477836,0.00033192923323329326,0.0014139313587473849,False
Gatb,3.586673,0.85256314,0.00033492380115728384,0.0014257354604869342,False
Tmbim1,3.5855103,1.2509451,0.00033641983838336194,0.001431148985734422,False
Knop1,3.585394,0.21555623,0.0003365697854958769,0.0014313328811495747,False
Aimp2,3.5844636,0.31984413,0.00033777161551891394,0.0014356231288955128,False
Arhgef25,3.5836663,0.94546664,0.00033880495011670504,0.0014396953686242491,False
Ndufa3,3.5797458,0.16421966,0.00034392867107393846,0.0014608190935828025,False
Prr3,3.5786328,0.38128677,0.0003453964435056703,0.0014667278749179108,False
Myl9,3.5782008,2.0621376,0.00034596760334503114,0.0014688274091438668,False
Sc5d,3.5766726,0.5088989,0.000347995732416308,0.0014770642239331259,False
Rhoc,3.5715559,0.7098134,0.00035486678275189055,0.0015052737932376846,False
Timm44,3.5709746,0.27490747,0.00035565556198231677,0.00150828535359618,False
Cd27,3.5704095,1.7225825,0.0003564233744631267,0.0015107290319927324,False
Vapb,3.5703764,0.2760499,0.0003564685881435383,0.0015107290319927324,False
Rmdn1,3.5683,0.73615754,0.00035930511075475013,0.0015220762538147772,False
Rmnd1,3.5674527,0.40261823,0.0003604684632072143,0.001526666500845956,False
Bbs2,3.561007,1.1552227,0.00036943508266698165,0.0015639500214915643,False
Rae1,3.5598443,0.26842344,0.0003710748114955223,0.0015701969527333187,False
Zic5,3.556987,0.84236264,0.00037513280305931986,0.00158701740003367,False
Mrpl19,3.556339,0.31357557,0.0003760586804076303,0.001590582781065555,False
Sra1,3.5555084,0.24246593,0.00037724882756404665,0.0015952640987070897,False
Sardh,3.553216,3.2395806,0.00038055192749240294,0.0016088763729350784,False
Camkk2,3.5500097,0.6327404,0.00038521683809439,0.0016275198817413976,False
Ppt2,3.5478835,0.5027934,0.00038834008132838157,0.0016403533031436536,False
Tatdn3,3.5472023,0.7337269,0.0003893454884999499,0.001644237269285203,False
Nelfe,3.5465877,0.2529418,0.0003902548946973164,0.0016477141913990598,False
Mgll,3.5462055,1.9081067,0.0003908212012721115,0.0016497412816821664,False
Nedd4,3.5451257,0.06888222,0.00039242578728292425,0.001655784202559058,False
Cog7,3.5447936,0.7821287,0.00039292074316293316,0.0016575071861131537,False
Amfr,3.5440128,0.34349674,0.00039408618651207367,0.0016620571889939572,False
Slc12a2,3.5415208,0.33063847,0.0003978273264419797,0.0016767269766071458,False
Eif4a2,3.5394444,0.17769307,0.0004009702631554662,0.0016892295545966251,False
Dhodh,3.5358062,0.5283515,0.00040653267651024315,0.0017111565638287978,False
P3h3,3.534876,1.1508945,0.0004079665565545329,0.0017164370028351736,False
Adck1,3.5341284,0.8938354,0.00040912220343345453,0.0017209208464863486,False
Ing5,3.53265,0.4416529,0.00041141682577882163,0.0017301926232873802,False
Arpc1b,3.530889,0.5234406,0.00041416542976807494,0.0017413691037634416,False
Mrps7,3.5287793,0.21348311,0.0004174811505962486,0.0017549246082278942,False
Ndufs2,3.5283308,0.15228674,0.00041818925562303534,0.001757515187388949,False
Fhit,3.523613,1.5922228,0.0004257057261504081,0.0017887117217986084,False
Gm19426,3.5196757,0.6208495,0.000432074637916954,0.0018142774232322474,False
Rbm43,3.515207,0.99835706,0.0004394112286733693,0.0018438700955009024,False
1700088E04Rik,3.5138614,1.7906542,0.0004416430654792426,0.0018524231054585193,False
Fam173b,3.511652,0.5303631,0.00044533065095606696,0.001867071923033552,False
Cgrrf1,3.5114028,0.4736844,0.00044574834260641176,0.0018684138259185534,False
Snx8,3.5097582,0.86857736,0.0004485142913837533,0.0018783032082567606,False
Qtrt1,3.509725,0.6561718,0.00044857033385351533,0.0018783032082567606,False
Chadl,3.5097084,2.556444,0.00044859835753914275,0.0018783032082567606,False
Nadk2,3.5070505,0.34203643,0.0004531032523483517,0.0018963356979433859,False
Acp2,3.5056717,0.5002997,0.0004554567630876853,0.0019057689087746412,False
Rasgef1b,3.5034788,0.7009369,0.0004592232057259994,0.0019206890153824088,False
Epb41l4b,3.5016348,3.7421172,0.0004624129161633442,0.0019331849721385417,False
Pard3,3.500339,0.39876243,0.000464666688144234,0.0019414560200403722,False
Tmem115,3.4979634,0.4799302,0.00046882524386892177,0.0019582816111757516,False
Kpna3,3.4952888,0.24251379,0.00047354879402353,0.001976286604626328,False
Cstf2,3.494608,0.30008212,0.00047475875802874127,0.0019809042663858903,False
Sspn,3.489674,2.7672992,0.00048361010686848947,0.002017396215204015,False
Msto1,3.4887602,0.69356424,0.0004852660419406602,0.0020238628844415547,False
Galnt7,3.4885943,0.5800261,0.0004855676886021332,0.002024679736853209,False
Eftud2,3.4854546,0.21950276,0.0004913017994214058,0.002046805646305243,False
Ptcd2,3.4791253,0.34735692,0.0005030534904141588,0.0020943965092531185,False
Mettl21a,3.4790587,0.77819103,0.0005031782463870042,0.0020944602996087153,False
Ltv1,3.4758525,0.4187337,0.000509232108539727,0.0021187376794221382,False
Gm15417,3.4756699,3.1855412,0.0005095791842751765,0.0021197209319371016,False
Srr,3.4753873,0.64235795,0.0005101160078186946,0.0021214928886662313,False
Stk3,3.473311,0.5291307,0.0005140794587836744,0.002137047515564888,False
Ccdc91,3.4687426,0.5827293,0.0005229003060639563,0.0021732440733459413,False
Trappc5,3.4680946,0.27941194,0.0005241626225836509,0.0021780174627938544,False
Hyal2,3.461865,0.5331416,0.0005364460575535938,0.0022276070938420985,False
Mipol1,3.4607022,0.6709053,0.0005387684646219591,0.0022367656495443982,False
Six5,3.460204,3.1327221,0.0005397666467327993,0.0022404237371110485,False
Hsf1,3.458393,0.48160464,0.0005434078964506703,0.0022550485104443577,False
Abat,3.4569478,0.6590333,0.0005463306233968037,0.0022666858446111914,False
Ddx1,3.4562666,0.17235926,0.0005477130714130055,0.0022714367223777925,False
Nbn,3.4551206,0.4230208,0.0005500469895899123,0.002280127644306115,False
1700113A16Rik,3.455021,1.0516285,0.0005502503762081712,0.0022804768190229944,False
Mccc1,3.4548712,0.67919844,0.0005505555874922757,0.002281247756876957,False
Acp1,3.4519143,0.15095025,0.0005566244859559748,0.002305895246041429,False
Mrps27,3.4501035,0.39412645,0.0005603715346919624,0.002319911486582191,False
Txnl1,3.447861,0.14813477,0.0005650449414898933,0.0023382475967946093,False
Nudt9,3.4475951,0.36403915,0.0005656012262398705,0.0023400436379171813,False
Chst11,3.4452195,1.1722819,0.0005705957192975402,0.0023601969897634797,False
Dnajb9,3.4448376,0.31443098,0.0005714028529819201,0.002363024892657945,False
Bbx,3.4438906,0.2651618,0.0005734077253316674,0.0023702916749725233,False
Metrnl,3.442711,1.9720534,0.0005759141834748831,0.002380138535419086,False
Bdh2,3.4425948,3.5565195,0.0005761618507511689,0.0023806480270998753,False
9330020H09Rik,3.442246,0.9056183,0.000576905447729414,0.002382691705673987,False
Epb41l5,3.4416313,0.32359686,0.0005782177693449756,0.0023875965237310655,False
Snhg9,3.437362,0.4928081,0.0005874100701832231,0.002424507512019993,False
Atrn,3.434754,0.48128718,0.000593092349561529,0.0024469054706311925,False
Dapp1,3.4330428,2.4723916,0.0005968479645540437,0.0024613387618185397,False
Npc1,3.4317303,0.52081496,0.0005997434718068486,0.0024727467270381893,False
Pemt,3.4297702,1.6346066,0.0006040927641038922,0.002490142453625758,False
Rbmxl1,3.4274776,0.15647765,0.0006092164578851596,0.0025096413662212807,False
Chst3,3.4265308,2.5288067,0.000611344544490533,0.0025178659860134087,False
Acad11,3.424504,1.4735423,0.0006159226654397358,0.0025361755365428365,False
